year,stateProvince,decimalLatitude,decimalLongitude,,,,,
1992,Tasmania,-39.208486,146.991302,,,,,
1992,Tasmania,-42.638488,147.97135,,,,,
1992,Tasmania,-40.788485,147.62131,,,,,
1992,Tasmania,-39.518485,147.121306,,,,,
1992,Tasmania,-39.488485,147.331293,,,,,
1992,Tasmania,-43.278499,147.161377,,,,,
1992,Tasmania,-41.878482,148.301319,,,,,
1992,Tasmania,-39.438485,147.291291,,,,,
1992,Tasmania,-39.438482,147.371298,,,,,
1992,Tasmania,-39.828527,144.151365,,,,,
1992,Tasmania,-42.288488,148.271337,,,,,
1992,Tasmania,-42.628489,148.021341,,,,,
1992,Tasmania,-43.288502,147.141373,,,,,
1992,Tasmania,-40.858511,145.511352,,,,,
1992,Tasmania,-40.48848,148.341293,,,,,
1992,Tasmania,-40.888511,145.531357,,,,,
1992,Tasmania,-39.438488,147.271292,,,,,
1992,Tasmania,-40.48848,148.341293,,,,,
1992,Tasmania,-40.858511,145.511352,,,,,
1992,Tasmania,-39.218485,146.971294,,,,,
1992,Tasmania,-40.888511,145.531357,,,,,
1992,Tasmania,-43.058496,147.331372,,,,,
1992,Tasmania,-39.478493,146.641314,,,,,
1992,Tasmania,-40.858511,145.511352,,,,,
1992,Tasmania,-40.908514,145.581353,,,,,
1992,Tasmania,-39.438488,147.271292,,,,,
1992,Tasmania,-39.458487,147.341299,,,,,
1992,Tasmania,-39.658525,143.831367,,,,,
1992,Tasmania,-43.0585,147.351365,,,,,
1992,Tasmania,-42.498489,148.001345,,,,,
1992,Tasmania,-39.828527,144.151365,,,,,
1992,Tasmania,-40.758482,147.931306,,,,,
1992,Tasmania,-42.638488,147.97135,,,,,
1992,Tasmania,-42.718488,148.011348,,,,,
1992,Tasmania,-42.62849,147.931352,,,,,
1992,Tasmania,-39.828521,144.131363,,,,,
1992,Tasmania,-39.898524,143.83137,,,,,
1992,Tasmania,-39.208485,147.0213,,,,,
1992,Tasmania,-43.0285,147.331371,,,,,
1992,Tasmania,-42.658486,148.11134,,,,,
1992,Tasmania,-39.478493,146.641314,,,,,
1992,Tasmania,-43.0285,147.331371,,,,,
1992,Tasmania,-39.928528,143.831366,,,,,
1992,Tasmania,-42.288483,148.251335,,,,,
1992,Tasmania,-40.458478,148.221294,,,,,
1992,Tasmania,-40.818483,147.621318,,,,,
1992,Tasmania,-42.288485,148.281331,,,,,
1992,Tasmania,-39.928528,143.831366,,,,,
1992,Tasmania,-42.638488,147.97135,,,,,
1992,Tasmania,-40.758482,147.931306,,,,,
1992,Tasmania,-40.458478,148.221294,,,,,
1992,Tasmania,-40.128532,143.901365,,,,,
1992,Tasmania,-42.518491,147.961344,,,,,
1992,Tasmania,-40.458478,148.221294,,,,,
1992,Tasmania,-39.438488,147.271292,,,,,
1992,Tasmania,-42.518491,147.961344,,,,,
1992,Tasmania,-42.658486,148.11134,,,,,
1992,Tasmania,-42.498489,148.001345,,,,,
1992,Tasmania,-39.208486,146.991302,,,,,
1992,Tasmania,-39.458487,147.341299,,,,,
1992,Tasmania,-42.578489,148.051342,,,,,
1992,Tasmania,-42.288483,148.251335,,,,,
1992,Tasmania,-39.438482,147.371298,,,,,
1992,Tasmania,-42.518491,147.961344,,,,,
1992,Tasmania,-42.718488,148.011348,,,,,
1992,Tasmania,-42.568483,148.08134,,,,,
