year,stateProvince,decimalLatitude,decimalLongitude
1986,Tasmania,-43.540934,146.95288
1986,Tasmania,-43.050723,147.344804
1987,Tasmania,-41,148.35
1987,Tasmania,-40.9936794,148.3468963
1988,Tasmania,-43.13456,147.972223
1988,Tasmania,-42.584109,148.053506
1988,Tasmania,-43.015825,147.330346
1988,Tasmania,-43.508846,146.981271
1988,Tasmania,-43.125576,147.968439
1988,Tasmania,-42.866922,147.960631
1988,Tasmania,-43.476469,147.008695
1988,Tasmania,-43.015824,147.330346
1988,Tasmania,-43.493412,147.135359
1988,Tasmania,-42.868776,147.957753
1988,Tasmania,-43.546492,146.918061
1988,Tasmania,-42.879741,147.966589
1988,Tasmania,-42.320858,148.318507
1988,Tasmania,-43.13456,147.972223
1988,Tasmania,-42.564821,148.074408
1988,Tasmania,-43.125576,147.968439
1988,Tasmania,-43.398972,147.362206
1988,Tasmania,-43.49418,147.143317
1988,Tasmania,-43.48333,146.996552
1988,Tasmania,-43.409332,147.098008
1988,Tasmania,-42.971763,147.989141
1988,Tasmania,-42.331717,148.327288
1988,Tasmania,-43.507982,146.981637
1988,Tasmania,-43.508846,146.981271
1988,Tasmania,-43.576934,146.92369
1988,Tasmania,-43.364922,147.054868
1988,Tasmania,-43.486751,147.005203
1988,Tasmania,-42.957465,147.995521
1988,Tasmania,-43.158819,147.39781
1988,Tasmania,-43.11044,147.980214
1988,Tasmania,-43.591547,146.923385
1988,Tasmania,-43.540934,146.95288
1988,Tasmania,-43.09496,147.37707
1988,Tasmania,-43.115536,147.979167
1988,Tasmania,-43.348215,147.324652
1988,Tasmania,-43.007761,147.942748
1988,Tasmania,-43.352716,147.05987
1988,Tasmania,-43.554304,146.895021
1988,Tasmania,-43.413328,147.097236
1988,Tasmania,-43.048102,147.951001
1988,Tasmania,-43.192497,147.87767
1988,Tasmania,-43.507863,146.981659
1988,Tasmania,-43.201113,147.872873
1988,Tasmania,-43.443559,146.982692
1988,Tasmania,-42.94648,147.987832
1988,Tasmania,-43.478299,147.324888
1988,Tasmania,-43.40781,147.020688
1988,Tasmania,-43.471253,147.185199
1988,Tasmania,-43.324469,147.325666
1988,Tasmania,-42.583171,148.054074
1988,Tasmania,-42.950881,147.990801
1988,Tasmania,-43.127302,147.963717
1988,Tasmania,-43.425018,147.019712
1988,Tasmania,-42.584109,148.053506
1988,Tasmania,-43.143353,147.859825
1988,Tasmania,-43.136591,147.97844
1988,Tasmania,-43.437104,147.000984
1988,Tasmania,-43.102381,147.974155
1988,Tasmania,-41.868188,148.306456
1988,Tasmania,-41.826233,148.269062
1988,Tasmania,-43.354149,147.373567
1988,Tasmania,-42.579944,148.087551
1988,Tasmania,-42.57187,148.066024
1988,Tasmania,-41.752418,148.300108
1988,Tasmania,-43.564929,146.90639
1988,Tasmania,-41.90613,148.32039
1988,Tasmania,-43.162781,147.866422
1988,Tasmania,-42.866922,147.960631
1988,Tasmania,-43.087556,147.964292
1988,Tasmania,-42.739436,148.013306
1988,Tasmania,-43.079635,147.961203
1988,Tasmania,-42.931412,147.993165
1988,Tasmania,-43.113455,147.389311
1988,Tasmania,-43.348707,147.368511
1988,Tasmania,-42.054201,148.304098
1988,Tasmania,-42.984624,147.964029
1988,Tasmania,-42.326897,148.277849
1988,Tasmania,-43.35582,147.330608
1988,Tasmania,-41.790137,148.270188
1988,Tasmania,-43.035582,147.339205
1988,Tasmania,-42.258129,148.320099
1988,Tasmania,-43.183061,147.86684
1988,Tasmania,-43.412311,147.117842
1988,Tasmania,-42.739109,147.927322
1988,Tasmania,-43.050723,147.344804
1988,Tasmania,-43.539966,146.996028
1988,Tasmania,-41.955891,148.309244
1990,Tasmania,-42.9359168,147.995821
1992,Tasmania,-42.628489,148.021341
1992,Tasmania,-42.628489,148.021341
1992,Tasmania,-42.658492,148.001346
1992,Tasmania,-42.658492,148.001346
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-42.29524,148.27637
1992,Tasmania,-42.29524,148.27637
1992,Tasmania,-42.29524,148.27637
1992,Tasmania,-42.29332,148.28851
1992,Tasmania,-42.29332,148.28851
1992,Tasmania,-42.29332,148.28851
1992,Tasmania,-42.29332,148.28851
1992,Tasmania,-42.29524,148.27637
1992,Tasmania,-42.578489,148.051342
1992,Tasmania,-42.578489,148.051342
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.658486,148.11134
1992,Tasmania,-42.658486,148.11134
1992,Tasmania,-42.50664,148.0032
1992,Tasmania,-42.50664,148.0032
1992,Tasmania,-42.50664,148.0032
1992,Tasmania,-42.50664,148.0032
1992,Tasmania,-42.718488,148.011348
1992,Tasmania,-42.718488,148.011348
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.57849,147.911342
1992,Tasmania,-42.57849,147.911342
1992,Tasmania,-42.408488,148.161335
1992,Tasmania,-42.408488,148.161335
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.72014,148.01146
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-42.66368,148.11461
1992,Tasmania,-43.058496,147.331372
1992,Tasmania,-43.058496,147.331372
1992,Tasmania,-42.58359,147.91566
1992,Tasmania,-42.58359,147.91566
1992,Tasmania,-42.58359,147.91566
1992,Tasmania,-42.58359,147.91566
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.55305,147.94814
1992,Tasmania,-42.55305,147.94814
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.58268,148.0546
1992,Tasmania,-42.58268,148.0546
1992,Tasmania,-42.58268,148.0546
1992,Tasmania,-42.58268,148.0546
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.41202,148.16177
1992,Tasmania,-42.518491,147.961344
1992,Tasmania,-42.518491,147.961344
1992,Tasmania,-43.05907,147.33253
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.5623,148.06735
1992,Tasmania,-42.5623,148.06735
1992,Tasmania,-42.5623,148.06735
1992,Tasmania,-42.5623,148.06735
1992,Tasmania,-43.278499,147.161377
1992,Tasmania,-43.278499,147.161377
1992,Tasmania,-43.268503,147.141376
1992,Tasmania,-43.268503,147.141376
1992,Tasmania,-42.52398,147.96925
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.66082,148.00697
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-42.58626,148.0519
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.06273,147.35709
1992,Tasmania,-43.048498,147.341362
1992,Tasmania,-43.048498,147.341362
1992,Tasmania,-43.27292,147.14343
1992,Tasmania,-43.27292,147.14343
1992,Tasmania,-43.2845,147.16739
1992,Tasmania,-43.2845,147.16739
1992,Tasmania,-43.2845,147.16739
1992,Tasmania,-43.2845,147.16739
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-42.62899,148.02431
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-42.62849,147.931352
1992,Tasmania,-42.62849,147.931352
1992,Tasmania,-42.52398,147.96925
1992,Tasmania,-42.52398,147.96925
1992,Tasmania,-42.52398,147.96925
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-41.868479,148.311322
1992,Tasmania,-41.868479,148.311322
1992,Tasmania,-39.828521,144.131363
1992,Tasmania,-39.828527,144.151365
1992,Tasmania,-39.828527,144.151365
1992,Tasmania,-39.828521,144.131363
1992,Tasmania,-41.868479,148.311322
1992,Tasmania,-41.868479,148.311322
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-42.64348,147.98036
1992,Tasmania,-42.64348,147.98036
1992,Tasmania,-42.64348,147.98036
1992,Tasmania,-39.658525,143.831367
1992,Tasmania,-39.658525,143.831367
1992,Tasmania,-39.83551,144.13336
1992,Tasmania,-39.83151,144.16035
1992,Tasmania,-39.83551,144.13336
1992,Tasmania,-39.83551,144.13336
1992,Tasmania,-39.83151,144.16035
1992,Tasmania,-39.83551,144.13336
1992,Tasmania,-39.83151,144.16035
1992,Tasmania,-39.83151,144.16035
1992,Tasmania,-41.89848,148.311321
1992,Tasmania,-41.89848,148.311321
1992,Tasmania,-41.878482,148.301319
1992,Tasmania,-41.878482,148.301319
1992,Tasmania,-41.86954,148.31363
1992,Tasmania,-41.86954,148.31363
1992,Tasmania,-41.86954,148.31363
1992,Tasmania,-41.86954,148.31363
1992,Tasmania,-43.0285,147.331371
1992,Tasmania,-43.0285,147.331371
1992,Tasmania,-43.27292,147.14343
1992,Tasmania,-43.29383,147.14182
1992,Tasmania,-43.29383,147.14182
1992,Tasmania,-43.27292,147.14343
1992,Tasmania,-43.29383,147.14182
1992,Tasmania,-43.27292,147.14343
1992,Tasmania,-40.128532,143.901365
1992,Tasmania,-40.128532,143.901365
1992,Tasmania,-40.48848,148.341293
1992,Tasmania,-40.458478,148.221294
1992,Tasmania,-40.458478,148.221294
1992,Tasmania,-40.48848,148.341293
1992,Tasmania,-41.88012,148.30984
1992,Tasmania,-41.90329,148.31631
